cooplabmst_id,dsp_sample_id,dsp_pedon_id,layer_no,dsp_pedon,sand_pct,silt_pct,clay_pct,texture,bulk_density,water_content,soc_pct,tc_pct,tn_pct,kssl_wsa,yoder_agg_stab_mwd,yoder_agg_stab_total_ws,yoder_ws_2_8,yoder_ws_pt5_2,yoder_ws_250_500,yoder_ws_53_250,ec,p_h,soil_respiration,bglucosidase,bglucosaminidase,alkaline_phosphatase,acid_phosphatase,phosphodiesterase,arylsulfatase,pox_c,ace,weoc,weon,effervescence,plfa_id,kssl_labsampnum,coarse_frag_volume,laydesg_id,hzdesg,hrzdep_t,hrzdep_b,dsp_plot_id,pedon_num,date_sampled,pedon_x,pedon_y,target_soil_name,soil_sampled_name,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,estimated_organic_c,c_tot_ncs,soc_pct_mod,genhz,bd_fill,soc_fill,coarse_frag_fill,hrzdepth,cf_mult,soc_stock_hrz
108,KeC1-1-1,KeC1-1,1,S2018KS179110,NA,NA,NA,,1.11023909,0.27,2.17,NA,NA,10,0.507324803,NA,NA,NA,NA,NA,NA,NA,1.064809976,77.5806569,104.407741,32.47043952,275.5157323,28.48571991,6.567889988,496.1191361,7.997775606,NA,NA,,KS-179-SW-110-1-0_5-2018,19N02553,0,108,Ap1,0,5,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,2.1,2.14,2.17,A,1.11023909,2.17,0,5,1,12.0460941265
109,KeC1-1-2,KeC1-1,2,S2018KS179110,NA,NA,NA,,1.420685092,0.2,1.9,NA,NA,13.33333333,0.313069575,NA,NA,NA,NA,NA,NA,NA,1.003563314,54.69240416,47.25891735,40.35378441,268.2230102,31.0761933,8.60070093,459.1304348,6.834202952,NA,NA,,KS-179-SW-110-2-5_10-2018,19N02554,0,109,Ap1,5,10,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,1.8,1.79,1.9,A,1.420685092,1.9,0,5,1,13.496508374000001
110,KeC1-1-3,KeC1-1,3,S2018KS179110,NA,NA,NA,,1.269239791,0.2,1.61,NA,NA,16.66666667,0.637495358,NA,NA,NA,NA,NA,NA,NA,0.847963289,67.5017613,44.57900088,147.660917,389.6314171,65.07012822,25.21829198,389.5283529,3.227247185,NA,NA,,KS-179-SW-110-3-10_23-2018,19N02555,0,110,Ap2,10,23,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,1.5,1.54,1.61,A,1.269239791,1.61,0,13,1,26.56518882563
111,KeC1-1-4,KeC1-1,4,S2018KS179110,NA,NA,NA,,1.277334863,0.23,1.14,NA,NA,18.33333333,0.877940981,NA,NA,NA,NA,NA,NA,NA,0.811817506,34.51686004,37.0352107,195.3996704,231.1459522,188.0698757,55.79728623,286.1524014,1.710420726,NA,NA,,KS-179-SW-110-4-23_36-2018,19N02556,0,111,Bt1,23,36,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,1.1,1.1,1.14,Bt,1.277334863,1.14,0,13,1,18.930102669660002
112,KeC1-1-5,KeC1-1,5,S2018KS179110,NA,NA,NA,,1.324462422,0.22,0.78,NA,NA,16.66666667,0.90935168,NA,NA,NA,NA,NA,NA,NA,0.779057826,27.63962376,29.33053359,166.6281385,81.79968338,116.19129650000001,32.46407388,180.919841,1.270259465,NA,NA,,KS-179-SW-110-5-36_54-2018,19N02557,0,112,Bt2,36,54,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,0.8,0.78,0.78,Bt,1.324462422,0.78,0,18,1,18.595452404880003
113,KeC1-1-6,KeC1-1,6,S2018KS179110,NA,NA,NA,,1.403438092,0.18,0.6,NA,NA,26.66666667,0.898082891,NA,NA,NA,NA,NA,NA,NA,0.88160834,19.62190038,11.27612866,93.9339485,23.23641636,61.62334584,38.66092137,124.881878,1.083677601,NA,NA,,KS-179-SW-110-6-54_69-2018,19N02558,0,113,Btk1,54,69,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,0.6,1.03,0.6,Btk,1.403438092,0.6,0,15,1,12.630942828
114,KeC1-1-7,KeC1-1,7,S2018KS179110,NA,NA,NA,,1.287678566,0.19,0.83,NA,NA,6.666666667,0.580567087,NA,NA,NA,NA,NA,NA,NA,0.924530943,16.42682371,7.878261069,85.2971646,13.5858194,33.53780725,28.20208421,110.7485733,1.047286371,NA,NA,,KS-179-SW-110-7-69_87-2018,19N02559,0,114,Btk2,69,87,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,0.5,1.76,0.83,Btk,1.287678566,0.83,0,18,1,19.23791777604
115,KeC1-1-8,KeC1-1,8,S2018KS179110,NA,NA,NA,,1.111048597,0.19,0.53,NA,NA,6.666666667,0.344307477,NA,NA,NA,NA,NA,NA,NA,0.811894469,11.43061655,6.174033791,43.0205342,8.566509496,17.17591882,20.63371909,65.14731103,0.809178416,NA,NA,,KS-179-SW-110-8-87_100-2018,19N02560,0,115,Bk,87,100,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,0.3,1.42,0.53,Bk,1.111048597,0.53,0,13,1,7.6551248333299995
116,KeC1-2-1,KeC1-2,1,S2018KS179111,NA,NA,NA,,1.268092989,0.23,2.1,NA,NA,6.666666667,0.567062531,NA,NA,NA,NA,NA,NA,NA,0.951311112,78.88579999,101.532134,25.57346289,244.8173586,28.37776789,4.822480668,457.86521,6.807891767,NA,NA,,KS-179-SW-111-1-0_5-2018,19N02561,0,116,Ap,0,5,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,1.9,1.9,2.1,A,1.268092989,2.1,0,5,1,13.3149763845
117,KeC1-2-2,KeC1-2,2,S2018KS179111,NA,NA,NA,,1.313695227,0.23,1.74,NA,NA,6.666666667,0.534717175,NA,NA,NA,NA,NA,NA,NA,0.846934674,31.97314049,50.72831257,30.15211167,235.3416709,20.55463615,6.715153519,361.3193288,5.55426632,NA,NA,,KS-179-SW-111-2-5_10-2018,19N02562,0,117,Ap,5,10,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,1.6,1.61,1.74,A,1.313695227,1.74,0,5,1,11.4291484749
