dsp_pedon_id,dsp_plot_id,label_full,label,lu,till,trt,project,soil,site,pedon_x,pedon_y,map,mat,climate
KeC1-1,KeC1,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),KansasState,Keith,NA,-100.557271,39.244626,549.925964355469,11.2898998260498,cool_dry
KeC1-2,KeC1,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),KansasState,Keith,NA,-100.557271,39.244626,549.925964355469,11.2898998260498,cool_dry
KeC1-3,KeC1,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),KansasState,Keith,NA,-100.557271,39.244626,549.925964355469,11.2898998260498,cool_dry
KeC2-1,KeC2,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,KansasState,Keith,NA,-101.0631493,39.3817794,521.028015136719,11.0500001907349,cool_dry
KeC2-2,KeC2,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,KansasState,Keith,NA,-101.0632519,39.3815262,521.028015136719,11.0500001907349,cool_dry
KeC2-3,KeC2,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,KansasState,Keith,NA,-101.0629297,39.3816973,521.028015136719,11.0500001907349,cool_dry
KeC3-1,KeC3,BAU,BAU,CROP,Till,Till converting to no-till,KansasState,Keith,NA,-100.868944,39.978288,533.513977050781,10.9399995803833,cool_dry
KeC3-2,KeC3,BAU,BAU,CROP,Till,Till converting to no-till,KansasState,Keith,NA,-100.868986,39.978452,533.513977050781,10.9399995803833,cool_dry
KeC3-3,KeC3,BAU,BAU,CROP,Till,Till converting to no-till,KansasState,Keith,NA,-100.8687585,39.9783659,533.513977050781,10.9399995803833,cool_dry
KeCF1-1,KeCF1,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.",KansasState,Keith,NA,-100.5431538,39.2447359,551.463012695312,11.3099994659424,cool_dry
KeCF1-2,KeCF1,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.",KansasState,Keith,NA,-100.5430643,39.2450134,551.463012695312,11.3099994659424,cool_dry
KeCF1-3,KeCF1,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.",KansasState,Keith,NA,-100.5427146,39.2447102,551.463012695312,11.3099994659424,cool_dry
KeCF3-1,KeCF3,SHM - no-till,SHM,CROP,No-till,No-till - diverse rotation,KansasState,Keith,NA,-100.89697,39.9519869,533.443969726562,10.9399995803833,cool_dry
KeCF3-2,KeCF3,SHM - no-till,SHM,CROP,No-till,No-till - diverse rotation,KansasState,Keith,NA,-100.8967806,39.9521612,533.443969726562,10.9399995803833,cool_dry
KeCF3-3,KeCF3,SHM - no-till,SHM,CROP,No-till,No-till - diverse rotation,KansasState,Keith,NA,-100.8967806,39.9521612,533.443969726562,10.9399995803833,cool_dry
KeN1-1,KeN1,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>40 years),KansasState,Keith,NA,-100.56165,39.249205,549.692016601562,11.2898998260498,cool_dry
KeN1-2,KeN1,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>40 years),KansasState,Keith,NA,-100.56165,39.249205,549.692016601562,11.2898998260498,cool_dry
KeN1-3,KeN1,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>40 years),KansasState,Keith,NA,-100.56165,39.249205,549.692016601562,11.2898998260498,cool_dry
KeN2-1,KeN2,Ref - Native,Ref,RANGE,Perennial,Native Rangeland - w 1 haying,KansasState,Keith,NA,-101.0636022,39.3843208,521.028015136719,11.0500001907349,cool_dry
KeN2-2,KeN2,Ref - Native,Ref,RANGE,Perennial,Native Rangeland - w 1 haying,KansasState,Keith,NA,-101.0636425,39.3840397,521.028015136719,11.0500001907349,cool_dry
KeN2-3,KeN2,Ref - Native,Ref,RANGE,Perennial,Native Rangeland - w 1 haying,KansasState,Keith,NA,-101.063449,39.384217,521.028015136719,11.0500001907349,cool_dry
KeN3-1,KeN3,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>80years),KansasState,Keith,NA,-100.8692162,39.9736474,533.513977050781,10.9399995803833,cool_dry
KeN3-2,KeN3,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>80years),KansasState,Keith,NA,-100.8692095,39.9739409,533.513977050781,10.9399995803833,cool_dry
KeN3-3,KeN3,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>80years),KansasState,Keith,NA,-100.8690184,39.9737363,533.513977050781,10.9399995803833,cool_dry
CeC1-1,CeC1,BAU,BAU,CROP,Till,wheat - 1,NCState,Cecil,Lake Wheeler,-78.6893,35.73547,1223.27893066406,15.7299995422363,warm_wet
CeC1-2,CeC1,BAU,BAU,CROP,Till,wheat - 1,NCState,Cecil,Lake Wheeler,-78.68135,35.73571,1223.04284667969,15.789999961853,warm_wet
CeC1-3,CeC1,BAU,BAU,CROP,Till,wheat - 1,NCState,Cecil,Lake Wheeler,-78.68177,35.73594,1223.04284667969,15.789999961853,warm_wet
CeC2-1,CeC2,BAU,BAU,CROP,Till,wheat - 2,NCState,Cecil,Lake Wheeler,-78.67495,35.72791,1223.13793945312,15.7299995422363,warm_wet
CeC2-2,CeC2,BAU,BAU,CROP,Till,wheat - 2,NCState,Cecil,Lake Wheeler,-78.67525,35.72765,1223.13793945312,15.7299995422363,warm_wet
CeC2-3,CeC2,BAU,BAU,CROP,Till,wheat - 2,NCState,Cecil,Lake Wheeler,-78.67555,35.72739,1223.13793945312,15.7299995422363,warm_wet
CeC3-1,CeC3,BAU,BAU,CROP,Till,wheat - 3,NCState,Cecil,Lake Wheeler,-78.67194,35.72451,1223.13793945312,15.7299995422363,warm_wet
CeC3-2,CeC3,BAU,BAU,CROP,Till,wheat - 3,NCState,Cecil,Lake Wheeler,-78.67194,35.72481,1223.13793945312,15.7299995422363,warm_wet
CeC3-3,CeC3,BAU,BAU,CROP,Till,wheat - 3,NCState,Cecil,Lake Wheeler,-78.67194,35.72511,1223.13793945312,15.7299995422363,warm_wet
CeF3-1,CeF3,Ref - Forest,Ref,FOREST,Perennial,forest,NCState,Cecil,Lake Wheeler,-78.66969,35.72612,1222.92102050781,15.6899995803833,warm_wet
CeF3-2,CeF3,Ref - Forest,Ref,FOREST,Perennial,forest,NCState,Cecil,Lake Wheeler,-78.66952,35.72619,1222.92102050781,15.6899995803833,warm_wet
CeH1-1,CeH1,SHM - forage,SHM,FORAGE,Perennial,hay 1,NCState,Cecil,Lake Wheeler,-78.68048,35.73409,1223.04284667969,15.789999961853,warm_wet
CeH1-2,CeH1,SHM - forage,SHM,FORAGE,Perennial,hay 1,NCState,Cecil,Lake Wheeler,-78.68042,35.73443,1223.04284667969,15.789999961853,warm_wet
CeH1-3,CeH1,SHM - forage,SHM,FORAGE,Perennial,hay 1,NCState,Cecil,Lake Wheeler,-78.68036,35.73477,1223.04284667969,15.789999961853,warm_wet
