project,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-1,1,esm1,0,-12.9,60.4627158683286,genetic_hrz,0-10 cm,0-12.9 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-1,1,esm2,0,-12.9002715324167,59.5097607006849,genetic_hrz,0-10 cm,0-12.9 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-1,1,fd,0,-10,49.08900485964829,genetic_hrz,0-10 cm,0-10 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-2,2,esm1,-12.9,-41,81.1957974993076,genetic_hrz,10-35 cm,12.9-41 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-2,2,esm2,-12.9002715324167,-40.9606539082876,87.087448015962,genetic_hrz,10-35 cm,12.9-41 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-2,2,fd,-10,-35,82.717441016814,genetic_hrz,10-35 cm,10-35 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-3,3,esm1,-41,-77.1,35.548974794939,genetic_hrz,35-69 cm,41-77.1 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-3,3,esm2,-40.9606539082876,-78.921820542566,20.7393582361956,genetic_hrz,35-69 cm,41-78.9 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-3,3,fd,-35,-69,39.1927738056252,genetic_hrz,35-69 cm,35-69 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-4,4,esm1,-77.1,-110.9,25.9061079803112,genetic_hrz,69-100 cm,77.1-110.9 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-4,4,esm2,-78.921820542566,-108.383962987313,61.1290998207573,genetic_hrz,69-100 cm,78.9-108.4 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-4,4,fd,-69,-100,23.7600398635998,genetic_hrz,69-100 cm,69-100 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-1,1,esm1,0,-14.1,71.9505698852774,genetic_hrz,0-10 cm,0-14.1 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-1,1,esm2,0,-14.2206006108621,73.9985252474496,genetic_hrz,0-10 cm,0-14.2 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-1,1,fd,0,-10,53.791853599090004,genetic_hrz,0-10 cm,0-10 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-2,2,esm1,-14.1,-43.6,81.5004118030985,genetic_hrz,10-35 cm,14.1-43.6 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-2,2,esm2,-14.2206006108621,-43.9779034316805,82.8341785122508,genetic_hrz,10-35 cm,14.2-44 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-2,2,fd,-10,-35,83.3332919356565,genetic_hrz,10-35 cm,10-35 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-3,3,esm1,-43.6,-79.2,33.3880794688325,genetic_hrz,35-69 cm,43.6-79.2 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-3,3,esm2,-43.9779034316805,-78.8871551990686,28.0630195918189,genetic_hrz,35-69 cm,44-78.9 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-3,3,fd,-35,-69,42.2949456204815,genetic_hrz,35-69 cm,35-69 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-4,4,esm1,-79.2,-112.7,24.3662250065012,genetic_hrz,69-100 cm,79.2-112.7 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-4,4,esm2,-78.8871551990686,-114.231322074551,42.4073569722993,genetic_hrz,69-100 cm,78.9-114.2 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-4,4,fd,-69,-100,22.547850006014,genetic_hrz,69-100 cm,69-100 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,esm1,0,-13.3,66.7228101172422,genetic_hrz,0-10 cm,0-13.3 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,esm2,0,-13.417074812025,69.6733557142,genetic_hrz,0-10 cm,0-13.4 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,fd,0,-10,55.637555762861,genetic_hrz,0-10 cm,0-10 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-2,2,esm1,-13.3,-41.3,64.7071044057079,genetic_hrz,10-35 cm,13.3-41.3 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-2,2,esm2,-13.417074812025,-41.8825968509795,61.7416382764493,genetic_hrz,10-35 cm,13.4-41.9 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-2,2,fd,-10,-35,62.5540757622635,genetic_hrz,10-35 cm,10-35 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-3,3,esm1,-41.3,-74.6,40.687503450289,genetic_hrz,35-69 cm,41.3-74.6 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-3,3,esm2,-41.8825968509795,-74.2265415367756,55.3413703862442,genetic_hrz,35-69 cm,41.9-74.2 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-3,3,fd,-35,-69,48.825218800213996,genetic_hrz,35-69 cm,35-69 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-4,4,esm1,-74.6,-105.6,28.2352851937529,genetic_hrz,69-100 cm,74.6-105.6 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-4,4,esm2,-74.2265415367756,-106.420157217818,8.2703801971918,genetic_hrz,69-100 cm,74.2-106.4 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-4,4,fd,-69,-100,28.235285193756496,genetic_hrz,69-100 cm,69-100 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-1,1,esm1,0,-12.4,42.2975161613712,genetic_hrz,0-10 cm,0-12.4 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-1,1,esm2,0,-12.3423706746958,42.8118611916568,genetic_hrz,0-10 cm,0-12.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-1,1,fd,0,-10,34.9744133713395,genetic_hrz,0-10 cm,0-10 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,esm1,-12.4,-39,53.2352103875984,genetic_hrz,10-35 cm,12.4-39 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,esm2,-12.3423706746958,-39.0143121968463,53.0070824324627,genetic_hrz,10-35 cm,12.3-39 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,fd,-10,-35,55.91714197183187,genetic_hrz,10-35 cm,10-35 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-3,3,esm1,-39,-74.5,28.4452914561545,genetic_hrz,35-69 cm,39-74.5 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-3,3,esm2,-39.0143121968463,-75.0403302231033,15.4328036839221,genetic_hrz,35-69 cm,39-75 cm
