project,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-1,1,esm1,0,-14,64.7768821130004,standard,0-10 cm,0-14 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-1,1,esm2,0,-14.0452653352633,63.968752812855,standard,0-10 cm,0-14 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-1,1,fd,0,-10,49.08900485964829,standard,0-10 cm,0-10 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-2,2,esm1,-14,-47.4,87.390503245221,standard,10-30 cm,14-47.4 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-2,2,esm2,-14.0452653352633,-47.4512612884697,90.3172146764525,standard,10-30 cm,14-47.5 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-2,2,fd,-10,-30,74.507384774169,standard,10-30 cm,10-30 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-3,3,esm1,-47.4,-76.4,24.5035857751757,standard,30-50 cm,47.4-76.4 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-3,3,esm2,-47.4512612884697,-78.2887840819101,12.7845393536435,standard,30-50 cm,47.5-78.3 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-3,3,fd,-30,-50,32.84022497058,standard,30-50 cm,30-50 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-4,4,esm1,-76.4,-109,24.9863645017203,standard,50-75 cm,76.4-109 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-4,4,esm2,-78.2887840819101,-107.006974810466,54.1378724809938,standard,50-75 cm,78.3-107 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-4,4,fd,-50,-75,19.161322470645,standard,50-75 cm,50-75 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-5,5,esm1,-109,-143.6,26.5192702993718,standard,75-100 cm,109-143.6 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-5,5,esm2,-107.006974810466,-123.849976604928,247.228527707793,standard,75-100 cm,107-123.8 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-5,5,fd,-75,-100,19.161322470645,standard,75-100 cm,75-100 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-1,1,esm1,0,-15.2,76.8224205962056,standard,0-10 cm,0-15.2 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-1,1,esm2,0,-15.3445013632874,79.1038309549988,standard,0-10 cm,0-15.3 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-1,1,fd,0,-10,53.791853599090004,standard,0-10 cm,0-10 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-2,2,esm1,-15.2,-50,88.7780205553361,standard,10-30 cm,15.2-50 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-2,2,esm2,-15.3445013632874,-50.0770276591333,86.5937203001392,standard,10-30 cm,15.3-50.1 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-2,2,fd,-10,-30,73.841526730058,standard,10-30 cm,10-30 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-3,3,esm1,-50,-78.5,20.7294750055308,standard,30-50 cm,50-78.5 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-3,3,esm2,-50.0770276591333,-78.2776913847303,18.9219336094866,standard,30-50 cm,50.1-78.3 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-3,3,fd,-30,-50,37.967060822394004,standard,30-50 cm,30-50 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-4,4,esm1,-78.5,-110.8,23.4934050062683,standard,50-75 cm,78.5-110.8 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-4,4,esm2,-78.2776913847303,-112.004139036422,37.8247831197375,standard,50-75 cm,78.3-112 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-4,4,fd,-50,-75,18.18375000485,standard,50-75 cm,50-75 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-5,5,esm1,-110.8,-145,24.875370006637,standard,75-100 cm,110.8-145 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-5,5,esm2,-112.004139036422,-158.574556556709,168.340793038891,standard,75-100 cm,112-158.6 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-5,5,fd,-75,-100,18.18375000485,standard,75-100 cm,75-100 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,esm1,0,-14.4,70.4178949020358,standard,0-10 cm,0-14.4 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,esm2,0,-14.4833116450375,73.5017096566429,standard,0-10 cm,0-14.5 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,fd,0,-10,55.637555762861,standard,0-10 cm,0-10 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-2,2,esm1,-14.4,-47.4,73.8300396664282,standard,10-30 cm,14.4-47.4 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-2,2,esm2,-14.4833116450375,-47.645070566494,70.8690512672556,standard,10-30 cm,14.5-47.6 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-2,2,fd,-10,-30,52.047501954465005,standard,10-30 cm,10-30 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-3,3,esm1,-47.4,-74,27.3229940139283,standard,30-50 cm,47.4-74 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-3,3,esm2,-47.645070566494,-73.671034849884,41.9176863715653,standard,30-50 cm,47.6-73.7 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-3,3,fd,-30,-50,42.026295231194,standard,30-50 cm,30-50 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-4,4,esm1,-74,-103.9,27.2333879772004,standard,50-75 cm,74-103.9 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-4,4,esm2,-73.671034849884,-104.381063357295,8.8515615692306,standard,50-75 cm,73.7-104.4 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-4,4,fd,-50,-75,22.7703912852875,standard,50-75 cm,50-75 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-5,5,esm1,-103.9,-135.5,28.7817745845997,standard,75-100 cm,103.9-135.5 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-5,5,esm2,-104.381063357295,-147.608339173346,-1.12303176713766,standard,75-100 cm,104.4-147.6 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-5,5,fd,-75,-100,22.7703912852875,standard,75-100 cm,75-100 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-1,1,esm1,0,-13.4,45.3488089905511,standard,0-10 cm,0-13.4 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-1,1,esm2,0,-13.3611704598659,46.1227750739321,standard,0-10 cm,0-13.4 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-1,1,fd,0,-10,34.9744133713395,standard,0-10 cm,0-10 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,esm1,-13.4,-44.9,55.2194710383624,standard,10-30 cm,13.4-44.9 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,esm2,-13.3611704598659,-45.0751416877081,54.2730666922508,standard,10-30 cm,13.4-45.1 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,fd,-10,-30,50.11567796458387,standard,10-30 cm,10-30 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-3,3,esm1,-44.9,-73.9,22.9352162604766,standard,30-50 cm,44.9-73.9 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-3,3,esm2,-45.0751416877081,-74.4094206045769,10.5371403179529,standard,30-50 cm,45.1-74.4 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-3,3,fd,-30,-50,19.511623276729832,standard,30-50 cm,30-50 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-4,4,esm1,-73.9,-106.7,25.9405204601253,standard,50-75 cm,73.9-106.7 cm
