project,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-1,1,esm1,0,-12.9,60.4627158683286,standard,0-10 cm,0-12.9 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-1,1,esm2,0,-12.9002715324167,59.5097607006849,standard,0-10 cm,0-12.9 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-1,1,fd,0,-10,49.08900485964829,standard,0-10 cm,0-10 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-2,2,esm1,-12.9,-35.6,72.3289367572513,standard,10-30 cm,12.9-35.6 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-2,2,esm2,-12.9002715324167,-35.5693542831809,77.6454616447462,standard,10-30 cm,12.9-35.6 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-2,2,fd,-10,-30,74.507384774169,standard,10-30 cm,10-30 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-3,3,esm1,-35.6,-57.3,29.240068140245,standard,30-50 cm,35.6-57.3 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-3,3,esm2,-35.5693542831809,-58.0799349337607,23.9082638503411,standard,30-50 cm,35.6-58.1 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-3,3,fd,-30,-50,32.84022497058,standard,30-50 cm,30-50 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-4,4,esm1,-57.3,-84.6,20.9241641379437,standard,50-75 cm,57.3-84.6 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-4,4,esm2,-58.0799349337607,-86.3180663776364,10.8874642172878,standard,50-75 cm,58.1-86.3 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-4,4,fd,-50,-75,19.161322470645,standard,50-75 cm,50-75 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-5,5,esm1,-84.6,-111.9,20.9241641379437,standard,75-100 cm,84.6-111.9 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-5,5,esm2,-86.3180663776364,-109.06608460145,60.4386622067234,standard,75-100 cm,86.3-109.1 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-5,5,fd,-75,-100,19.161322470645,standard,75-100 cm,75-100 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-1,1,esm1,0,-14.1,71.9505698852774,standard,0-10 cm,0-14.1 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-1,1,esm2,0,-14.2206006108621,73.9985252474496,standard,0-10 cm,0-14.2 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-1,1,fd,0,-10,53.791853599090004,standard,0-10 cm,0-10 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-2,2,esm1,-14.1,-38.2,71.2493053810523,standard,10-30 cm,14.1-38.2 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-2,2,esm2,-14.2206006108621,-38.6399439582421,73.1035700528775,standard,10-30 cm,14.2-38.6 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-2,2,fd,-10,-30,73.841526730058,standard,10-30 cm,10-30 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-3,3,esm1,-38.2,-59.6,29.383125887075,standard,30-50 cm,38.2-59.6 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-3,3,esm2,-38.6399439582421,-59.729975301775,28.0924947785875,standard,30-50 cm,38.6-59.7 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-3,3,fd,-30,-50,37.967060822394004,standard,30-50 cm,30-50 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-4,4,esm1,-59.6,-86.6,19.6384500052397,standard,50-75 cm,59.6-86.6 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-4,4,esm2,-59.729975301775,-86.2676579715614,13.6728472099649,standard,50-75 cm,59.7-86.3 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-4,4,fd,-50,-75,18.18375000485,standard,50-75 cm,50-75 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-5,5,esm1,-86.6,-113.7,19.7111850052592,standard,75-100 cm,86.6-113.7 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-5,5,esm2,-86.2676579715614,-115.375763120698,41.0646277583899,standard,75-100 cm,86.3-115.4 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-5,5,fd,-75,-100,18.18375000485,standard,75-100 cm,75-100 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,esm1,0,-13.3,66.7228101172422,standard,0-10 cm,0-13.3 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,esm2,0,-13.417074812025,69.6733557142,standard,0-10 cm,0-13.4 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,fd,0,-10,55.637555762861,standard,0-10 cm,0-10 cm
