project,ref_stat,ref_data,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soil_mass_cum,soc_cum,soil_mass,soc,esm_depth,actual_depth
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-1,1,esm1,0,-4.7,532.52645188,29.053578161669,532.52645188,29.053578161669,0-5 cm,0-4.7 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-1,1,esm2,0,-4.79350374764144,540.267693133333,29.9228746037975,540.267693133333,29.9228746037975,0-5 cm,0-4.8 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-2,2,esm1,-4.7,-10.2,1288.2095007,49.873398722316,755.683048820001,20.819820560647,5-10 cm,4.7-10.2 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-2,2,esm2,-4.79350374764144,-10.2454855336466,1295.1535669,49.9089376169974,754.885873766667,19.9860630131999,5-10 cm,4.8-10.2 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-3,3,esm1,-10.2,-31.5,4387.7687295,126.059406506611,3099.5592288,76.1860077842952,10-30 cm,10.2-31.5 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-3,3,esm2,-10.2454855336466,-31.488913309145,4392.41666656667,127.657601839939,3097.26309966667,77.7486642229413,10-30 cm,10.2-31.5 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-4,4,esm1,-31.5,-62.4,9103.13766312007,165.940630549836,4715.36893362008,39.8812240432251,30-60 cm,31.5-62.4 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM-001-4,4,esm2,-31.488913309145,-63.6291861294302,9115.32344960175,162.948720267263,4722.90678303509,35.2911184273239,30-60 cm,31.5-63.6 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-1,1,esm1,0,-5.3,533.04413737,29.8994514787561,533.04413737,29.8994514787561,0-5 cm,0-5.3 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-1,1,esm2,0,-5.39192342951969,540.267693133333,30.4661906394258,540.267693133333,30.4661906394258,0-5 cm,0-5.4 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-2,2,esm1,-5.3,-11.4,1289.16550364,59.9923908675443,756.121366269999,30.0929393887883,5-10 cm,5.3-11.4 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-2,2,esm2,-5.39192342951969,-11.5175418853882,1295.1535669,61.1854466696335,754.885873766667,30.7192560302077,5-10 cm,5.4-11.5 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-3,3,esm1,-11.4,-34,4386.41550879997,135.226792493627,3097.25000515997,75.2344016260827,10-30 cm,11.4-34 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-3,3,esm2,-11.5175418853882,-34.3489195331864,4392.41666656667,137.98308589374,3097.26309966667,76.7976392241067,10-30 cm,11.5-34.3 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-4,4,esm1,-34,-64.7,9113.95292609996,176.292486154394,4727.53741729998,41.0656936607674,30-60 cm,34-64.7 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM-002-4,4,esm2,-34.3489195331864,-64.7272641023863,9115.32344960175,178.421167819343,4722.90678303509,40.4380819256028,30-60 cm,34.3-64.7 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,esm1,0,-5.1,530.83416926,30.8562748720863,530.83416926,30.8562748720863,0-5 cm,0-5.1 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,esm2,0,-5.19176013929205,540.267693133333,31.4262296855995,540.267693133333,31.4262296855995,0-5 cm,0-5.2 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-2,2,esm1,-5.1,-10.8,1287.87717724,58.324890151802,757.043007980001,27.4686152797156,5-10 cm,5.1-10.8 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-2,2,esm2,-5.19176013929205,-10.8741049249221,1295.1535669,59.4755246010849,754.885873766667,28.0492949154854,5-10 cm,5.2-10.9 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-3,3,esm1,-10.8,-32.4,4391.67658768001,112.728213145069,3103.79941044001,54.4033229932672,10-30 cm,10.8-32.4 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-3,3,esm2,-10.8741049249221,-32.6500977506616,4392.41666656667,112.478020112889,3097.26309966667,53.0024955118042,10-30 cm,10.9-32.7 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-4,4,esm1,-32.4,-61.2,9104.49800048002,159.912488244327,4712.82141280001,47.1842750992573,30-60 cm,32.4-61.2 cm
Illinois,mean,project,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-4,4,esm2,-32.6500977506616,-61.2597185319712,9115.32344960175,171.320127139337,4722.90678303509,58.8421070264477,30-60 cm,32.7-61.3 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-1,1,esm1,0,-5,540.267693133333,17.5916563561145,540.267693133333,17.5916563561145,0-5 cm,0-5 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-1,1,esm2,0,-5,540.267693133333,17.5916563561145,540.267693133333,17.5916563561145,0-5 cm,0-5 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,esm1,-5,-10,1295.1535669,34.9744133713395,754.885873766667,17.382757015225,5-10 cm,5-10 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,esm2,-5,-10,1295.1535669,34.9744133713395,754.885873766667,17.382757015225,5-10 cm,5-10 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-3,3,esm1,-10,-29.9,4376.926544344,84.8940638391956,3081.772977444,49.9196504678561,10-30 cm,10-29.9 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-3,3,esm2,-10,-30,4392.41666656667,85.0900913359234,3097.26309966667,50.1156779645839,10-30 cm,10-30 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-4,4,esm1,-29.9,-59.8,9110.19122205674,112.352235969641,4733.26467771273,27.4581721304455,30-60 cm,29.9-59.8 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-4,4,esm2,-30,-60.2197510516403,9115.32344960175,106.245313208354,4722.90678303509,21.1552218724311,30-60 cm,30-60.2 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-1,1,esm1,0,-5,540.267693133333,15.1804416416604,540.267693133333,15.1804416416604,0-5 cm,0-5 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-1,1,esm2,0,-5,540.267693133333,15.1804416416604,540.267693133333,15.1804416416604,0-5 cm,0-5 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-2,2,esm1,-5,-10,1295.1535669,31.7064031901603,754.885873766667,16.5259615484999,5-10 cm,5-10 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-2,2,esm2,-5,-10,1295.1535669,31.7064031901603,754.885873766667,16.5259615484999,5-10 cm,5-10 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-3,3,esm1,-10,-29.9,4376.926544344,82.1158718990819,3081.772977444,50.4094687089216,10-30 cm,10-29.9 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-3,3,esm2,-10,-30,4392.41666656667,82.3080423553759,3097.26309966667,50.6016391652157,10-30 cm,10-30 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-4,4,esm1,-29.9,-59.8,9110.19122205674,167.231967641424,4733.26467771273,85.1160957423424,30-60 cm,29.9-59.8 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-4,4,esm2,-30,-60.2197510516403,9115.32344960175,118.45743092165,4722.90678303509,36.1493885662738,30-60 cm,30-60.2 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-1,1,esm1,0,-5,540.267693133333,21.5102179344106,540.267693133333,21.5102179344106,0-5 cm,0-5 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-1,1,esm2,0,-5,540.267693133333,21.5102179344105,540.267693133333,21.5102179344105,0-5 cm,0-5 cm
