project,dsp_pedon_id,dsp_plot_id,label,trt,explanation,lu,till,soil,suborder,soil_sampled_name,pedon_x,pedon_y,map,mat
KansasState,KeCF3-1,KeCF3,SHM,No-till - diverse rotation,"20 years+ of No-till with 100% residue post-harvest. Covercropping is not typical of the area due to high water holding capacities of the soils paired with low and highly variable annual precipitation.  He has found covercropping to be less efficient at recharging the soil profile than fallow, and has documented yield losses from cover cropping.  Kastens has done covercropping research since 2010, spending over $50,000 to reach this conclusion, thought they still do some small trials currently.  The crop rotation is diverse as it includes a winter grass, summer grass, and legume.  Wheat, corn, yellow peas represent a typical crop rotation.",CROP,No-till,Keith,Ustolls,Keith,-100.89697,39.9519869,533.443969726562,10.9399995803833
KansasState,KeCF3-2,KeCF3,SHM,No-till - diverse rotation,"20 years+ of No-till with 100% residue post-harvest. Covercropping is not typical of the area due to high water holding capacities of the soils paired with low and highly variable annual precipitation.  He has found covercropping to be less efficient at recharging the soil profile than fallow, and has documented yield losses from cover cropping.  Kastens has done covercropping research since 2010, spending over $50,000 to reach this conclusion, thought they still do some small trials currently.  The crop rotation is diverse as it includes a winter grass, summer grass, and legume.  Wheat, corn, yellow peas represent a typical crop rotation.",CROP,No-till,Keith,Ustolls,Keith,-100.8967806,39.9521612,533.443969726562,10.9399995803833
KansasState,KeCF3-3,KeCF3,SHM,No-till - diverse rotation,"20 years+ of No-till with 100% residue post-harvest. Covercropping is not typical of the area due to high water holding capacities of the soils paired with low and highly variable annual precipitation.  He has found covercropping to be less efficient at recharging the soil profile than fallow, and has documented yield losses from cover cropping.  Kastens has done covercropping research since 2010, spending over $50,000 to reach this conclusion, thought they still do some small trials currently.  The crop rotation is diverse as it includes a winter grass, summer grass, and legume.  Wheat, corn, yellow peas represent a typical crop rotation.",CROP,No-till,Keith,Ustolls,Keith,-100.8967806,39.9521612,533.443969726562,10.9399995803833
KansasState,KeC3-1,KeC3,BAU,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",CROP,Till,Keith,Ustolls,Keith,-100.868944,39.978288,533.513977050781,10.9399995803833
KansasState,KeC3-2,KeC3,BAU,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",CROP,Till,Keith,Ustolls,Keith,-100.868986,39.978452,533.513977050781,10.9399995803833
KansasState,KeC3-3,KeC3,BAU,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",CROP,Till,Keith,Ustolls,Keith,-100.8687585,39.9783659,533.513977050781,10.9399995803833
KansasState,KeN3-1,KeN3,Ref,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",RANGE,Perennial,Keith,Ustolls,Keith,-100.8692162,39.9736474,533.513977050781,10.9399995803833
KansasState,KeN3-2,KeN3,Ref,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",RANGE,Perennial,Keith,Ustolls,Keith,-100.8692095,39.9739409,533.513977050781,10.9399995803833
KansasState,KeN3-3,KeN3,Ref,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",RANGE,Perennial,Keith,Ustolls,Keith,-100.8690184,39.9737363,533.513977050781,10.9399995803833
KansasState,KeCF1-1,KeCF1,SHM,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",CROP,No-till,Keith,Ustolls,Keith,-100.5431538,39.2447359,551.463012695312,11.3099994659424
KansasState,KeCF1-2,KeCF1,SHM,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",CROP,No-till,Keith,Ustolls,Keith,-100.5430643,39.2450134,551.463012695312,11.3099994659424
KansasState,KeCF1-3,KeCF1,SHM,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",CROP,No-till,Keith,Ustolls,Keith,-100.5427146,39.2447102,551.463012695312,11.3099994659424
