project,label,dsp_plot_id,dsp_pedon_id,dsp_sample_id,layer_no,hzdesg,hrzdep_t,hrzdep_b,soc_fill,bd_hybrid
KansasState,BAU,KeC1,KeC1-1,KeC1-1-1,1,Ap1,0,5,2.17,1.11023909
KansasState,BAU,KeC1,KeC1-1,KeC1-1-2,2,Ap1,5,10,1.9,1.420685092
KansasState,BAU,KeC1,KeC1-1,KeC1-1-3,3,Ap2,10,23,1.61,1.269239791
KansasState,BAU,KeC1,KeC1-1,KeC1-1-4,4,Bt1,23,36,1.14,1.277334863
KansasState,BAU,KeC1,KeC1-1,KeC1-1-5,5,Bt2,36,54,0.78,1.324462422
KansasState,BAU,KeC1,KeC1-1,KeC1-1-6,6,Btk1,54,69,0.6,1.403438092
KansasState,BAU,KeC1,KeC1-1,KeC1-1-7,7,Btk2,69,87,0.83,1.287678566
KansasState,BAU,KeC1,KeC1-1,KeC1-1-8,8,Bk,87,100,0.53,1.111048597
KansasState,BAU,KeC1,KeC1-2,KeC1-2-1,1,Ap,0,5,2.1,1.268092989
KansasState,BAU,KeC1,KeC1-2,KeC1-2-2,2,Ap,5,10,1.74,1.313695227
KansasState,BAU,KeC1,KeC1-2,KeC1-2-3,3,A,10,25,1.15,1.305217888
KansasState,BAU,KeC1,KeC1-2,KeC1-2-4,4,Bt1,25,36,0.75,1.313456054
KansasState,BAU,KeC1,KeC1-2,KeC1-2-5,5,Bt2,36,59,0.59,1.327269137
KansasState,BAU,KeC1,KeC1-2,KeC1-2-6,6,Btk,59,78,0.64,1.201212785
KansasState,BAU,KeC1,KeC1-2,KeC1-2-7,7,Bk,78,100,0.7,1.077273137
KansasState,BAU,KeC1,KeC1-3,KeC1-3-1,1,Ap1,0,5,2.12,0.989217767
KansasState,BAU,KeC1,KeC1-3,KeC1-3-2,2,Ap1,5,10,1.78,1.182150311
KansasState,BAU,KeC1,KeC1-3,KeC1-3-3,3,Ap2,10,24,1.41,1.181085423
KansasState,BAU,KeC1,KeC1-3,KeC1-3-4,4,Bt,24,38,0.92,1.235582603
KansasState,BAU,KeC1,KeC1-3,KeC1-3-5,5,Btk1,38,61,0.64,1.2896228975625
KansasState,BAU,KeC1,KeC1-3,KeC1-3-6,6,Btk2,61,80,0.64,1.2896228975625
KansasState,BAU,KeC1,KeC1-3,KeC1-3-7,7,Bk,80,100,0.7,1.2237974818333333
KansasState,BAU,KeC2,KeC2-1,KeC2-1-1,1,Ap1,0,5,2.37,0.933968903
KansasState,BAU,KeC2,KeC2-1,KeC2-1-2,2,Ap1,5,10,1.73,1.140932904
KansasState,BAU,KeC2,KeC2-1,KeC2-1-3,3,Ap2,10,22,1.26,1.221540705
KansasState,BAU,KeC2,KeC2-1,KeC2-1-4,4,Bt1,22,42,0.74,1.319614748
KansasState,BAU,KeC2,KeC2-1,KeC2-1-5,5,Bt2,42,56,0.75,1.382474426
KansasState,BAU,KeC2,KeC2-1,KeC2-1-6,6,Btk1,56,69,1.02,1.368067125
KansasState,BAU,KeC2,KeC2-1,KeC2-1-7,7,Btk2,69,84,0.82,1.256107786
KansasState,BAU,KeC2,KeC2-1,KeC2-1-8,8,Btk3,84,100,0.59,1.242825403
KansasState,BAU,KeC2,KeC2-2,KeC2-2-1,1,Ap1,0,5,2.28,1.382098583
KansasState,BAU,KeC2,KeC2-2,KeC2-2-2,2,Ap1,5,10,1.6,1.451378905
KansasState,BAU,KeC2,KeC2-2,KeC2-2-3,3,Ap2,10,23,1.25,1.447331369
KansasState,BAU,KeC2,KeC2-2,KeC2-2-4,4,Bt1,23,40,0.95,1.266184298
KansasState,BAU,KeC2,KeC2-2,KeC2-2-5,5,Bt2,40,56,0.78,1.334358741
KansasState,BAU,KeC2,KeC2-2,KeC2-2-6,6,Btk1,56,69,0.78,1.224716896
KansasState,BAU,KeC2,KeC2-2,KeC2-2-7,7,Btk2,69,79,0.7,1.274231752
KansasState,BAU,KeC2,KeC2-2,KeC2-2-8,8,Btk3,79,100,0.78,1.297544434
KansasState,BAU,KeC2,KeC2-3,KeC2-3-1,1,Ap1,0,5,2.09,1.15759526
KansasState,BAU,KeC2,KeC2-3,KeC2-3-2,2,Ap1,5,10,1.53,1.404899702
KansasState,BAU,KeC2,KeC2-3,KeC2-3-3,3,Ap2,10,26,1.21,1.356008841
KansasState,BAU,KeC2,KeC2-3,KeC2-3-4,4,Bt1,26,40,0.89,1.28694776
KansasState,BAU,KeC2,KeC2-3,KeC2-3-5,5,Bt2,40,52,0.96,1.357105049
